radius_mean,texture_mean,radius_se,texture_se,radius_worst,texture_worst
16.24,18.77,0.2873,0.9173,18.55,25.09
12.89,15.7,0.2913,1.389,13.9,19.69
12.58,18.4,0.2719,1.35,13.5,23.08
11.94,20.76,0.2742,1.39,13.24,27.29
12.89,13.12,0.1532,0.469,13.62,15.54
11.26,19.96,0.4866,1.905,11.86,22.33
11.37,18.89,0.2656,1.974,12.36,26.14
14.41,19.73,0.8811,1.77,15.77,22.13
14.96,19.1,0.2877,0.948,16.25,26.19
12.95,16.02,0.2094,0.7636,13.74,19.93
11.85,17.46,0.207,1.238,13.06,25.75
12.72,13.78,0.1807,0.6931,13.5,17.48
13.77,13.27,0.2191,0.6946,14.67,16.93
10.91,12.35,0.1753,1.027,11.37,14.82
11.76,18.14,0.645,2.105,13.36,23.39
14.26,18.17,0.23,0.669,16.22,25.26
10.51,23.09,0.2868,1.143,10.93,24.22
19.53,18.9,1.111,1.161,25.93,26.24
12.46,19.89,0.3642,1.04,13.46,23.07
20.09,23.86,1.072,1.743,23.68,29.43
10.49,18.61,0.1485,1.563,11.06,24.54
11.46,18.16,0.3278,1.059,12.68,21.61
11.6,24.49,0.2512,1.786,12.44,31.62
13.2,15.82,0.1903,0.5735,14.41,20.45
9,14.4,0.1746,1.305,9.699,20.07
13.5,12.71,0.2244,0.6864,14.97,16.94
13.05,13.84,0.3975,0.8285,14.73,17.4
11.7,19.11,0.1601,1.43,12.61,26.55
14.61,15.69,0.316,0.9115,16.46,21.75
12.76,13.37,0.3265,0.6594,14.19,16.4
11.54,10.72,0.1312,0.3602,12.34,12.87
8.597,18.6,0.3368,2.777,8.952,22.44
12.49,16.85,0.1716,0.7151,13.34,19.71
12.18,14.08,0.2113,0.5996,12.85,16.47
18.22,18.87,0.4041,0.5503,21.84,25
9.042,18.9,0.4653,1.911,10.06,23.4
12.43,17,0.3778,2.2,12.9,20.21
10.25,16.18,0.3677,1.471,11.28,20.61
20.16,19.66,0.5925,0.6863,23.06,23.03
12.86,13.32,0.2212,1.042,14.04,21.08
20.34,21.51,0.5702,1.023,25.3,31.86
12.2,15.21,0.2575,0.8073,13.75,21.38
12.67,17.3,0.21,0.9505,13.71,21.1
14.11,12.88,0.2571,1.081,15.53,18
12.03,17.93,0.2335,0.9097,13.07,22.25
16.27,20.71,0.4375,1.232,19.28,30.38
16.26,21.88,0.5706,1.457,17.73,25.21
16.03,15.51,0.3371,0.7476,18.76,21.98
12.98,19.35,0.2684,0.5664,14.42,21.95
11.22,19.86,0.2976,1.966,11.98,25.78
11.25,14.78,0.2144,0.9961,12.76,22.06
12.3,19.02,0.184,1.532,13.35,28.46
17.06,21,0.8161,2.129,20.99,33.15
12.99,14.23,0.1814,0.6412,13.72,16.91
18.77,21.43,0.6422,1.53,24.54,34.37
10.05,17.53,0.2619,2.015,11.16,26.84
23.51,24.27,1.009,0.9245,30.67,30.73
14.42,16.54,0.3491,0.7706,16.67,21.51
9.606,16.84,0.1844,0.9429,10.75,23.07
11.06,14.96,0.1601,0.8225,11.92,19.9
19.68,21.68,0.6226,2.284,22.75,34.66
11.71,15.45,0.3446,0.7395,13.06,18.16
10.26,14.71,0.338,2.509,10.88,19.48
12.06,18.9,0.243,1.152,13.64,27.06
14.76,14.74,0.3428,0.3981,17.27,17.93
11.47,16.03,0.1707,0.7615,12.51,20.79
11.95,14.96,0.361,1.05,12.81,17.72
11.66,17.07,0.3534,0.6724,13.28,19.74
15.75,19.22,0.5204,1.324,17.36,24.17
25.73,17.46,0.9948,0.8509,33.13,23.58
15.08,25.74,0.6534,1.506,18.51,33.22
11.14,14.07,0.4222,0.8092,12.12,15.82
12.56,19.07,0.3602,1.478,13.37,22.43
13.05,18.59,0.3106,1.51,14.19,24.85
13.87,16.21,0.2543,1.363,15.11,25.58
8.878,15.49,0.5381,1.2,9.981,17.7
9.436,18.32,0.5079,1.247,12.02,25.02
12.54,18.07,0.3511,0.9527,13.72,20.98
13.3,21.57,0.2621,1.539,14.2,29.2
12.76,18.84,0.2213,1.285,13.75,25.99
16.5,18.29,0.3389,1.439,18.13,25.45
13.4,16.95,0.1584,0.6124,14.73,21.7
20.44,21.78,0.5781,0.9168,24.31,26.37
20.2,26.83,0.9761,1.892,24.19,33.81
12.21,18.02,0.2527,0.7786,14.29,24.04
21.71,17.25,1.207,1.051,30.75,26.44
22.01,21.9,1.008,0.6999,27.66,25.8
16.35,23.29,0.4312,1.022,19.38,31.03
15.19,13.21,0.1783,0.4125,16.2,15.73
21.37,15.1,0.3414,1.309,22.69,21.84
20.64,17.35,0.6137,0.6575,25.37,23.17
13.69,16.07,0.1705,0.5066,14.84,20.21
16.17,16.07,0.1745,0.489,16.97,19.14
10.57,20.22,0.1115,1.231,10.85,22.82
13.46,28.21,0.1689,1.15,14.69,35.63
13.66,15.15,0.1402,0.5417,14.54,19.64
11.08,18.83,0.2114,1.027,13.24,32.82
11.27,12.96,0.2562,0.9858,12.84,20.53
11.04,14.93,0.1642,1.031,12.09,20.83
12.05,22.72,0.1194,1.434,12.57,28.71
12.39,17.48,0.2608,0.873,14.18,23.13
13.28,13.72,0.1833,0.5308,14.24,17.37
14.6,23.29,0.4157,1.627,15.79,31.71
12.21,14.09,0.2666,0.8309,13.13,19.29
13.88,16.16,0.2541,0.6218,15.51,19.97
11.27,15.5,0.3305,1.067,12.04,18.93
19.55,23.21,0.6107,2.836,20.82,30.44
10.26,12.22,0.1911,0.5477,11.38,15.65
8.734,16.84,0.5169,2.079,10.17,22.8
15.49,19.97,0.647,1.331,21.2,29.41
21.61,22.28,0.6242,0.9209,26.23,28.74
12.1,17.72,0.2841,1.652,13.56,25.8
14.06,17.18,0.1504,1.685,14.92,25.34
13.51,18.89,0.2136,1.332,14.8,27.2
12.8,17.46,0.3639,1.265,13.74,21.06
11.06,14.83,0.1855,0.6881,12.68,20.35
11.8,17.26,0.3438,1.14,13.45,24.49
17.91,21.02,0.403,0.7747,20.8,27.78
11.93,10.91,0.2522,1.045,13.8,20.14
12.96,18.29,0.2357,1.299,14.13,24.61
12.94,16.17,0.1458,0.905,13.86,23.02
12.34,14.95,0.3833,0.9078,13.18,16.85
10.94,18.59,0.3796,1.743,12.4,25.58
16.14,14.86,0.2387,0.6372,17.71,19.58
12.85,21.37,0.4993,1.798,14.4,27.01
17.99,20.66,0.4537,0.8733,21.08,25.41
12.27,17.92,0.3342,1.781,14.1,28.88
11.36,17.57,0.1916,1.555,13.05,36.32
11.04,16.83,0.1967,1.387,12.41,26.44
9.397,21.68,0.1186,1.182,9.965,27.99
14.99,22.11,0.3186,1.336,16.76,31.55
15.13,29.81,0.4681,1.627,17.26,36.91
11.89,21.17,0.2747,1.203,13.05,27.21
9.405,21.7,0.4302,2.878,10.85,31.24
15.5,21.08,1.37,1.213,23.17,27.65
12.7,12.17,0.2253,0.6457,13.65,16.92
11.16,21.41,0.2865,1.678,12.36,28.92
11.57,19.04,0.2864,1.44,13.07,26.98
14.69,13.98,0.5462,1.511,16.46,18.34
11.61,16.02,0.2456,0.7339,12.64,19.67
13.66,19.13,0.2244,0.895,15.14,25.5
9.742,19.12,0.6965,1.747,11.21,23.17
10.03,21.28,0.1851,1.341,11.11,28.94
10.48,14.98,0.3276,1.127,12.13,21.57
10.8,21.98,0.3077,1.621,12.76,32.04
11.13,16.62,0.1415,0.9671,11.68,20.29
12.72,17.67,0.2954,0.8836,13.82,20.96
14.9,22.53,0.253,0.8749,16.35,27.57
12.4,17.68,0.1767,1.46,12.88,22.91
20.18,19.54,0.4331,1.001,22.03,25.07
18.82,21.97,0.8191,1.931,22.66,30.93
14.86,16.94,0.3028,0.6683,16.31,20.54
13.98,19.62,0.2208,0.9533,17.04,30.8
12.87,19.54,0.3665,0.7693,14.45,24.38
14.04,15.98,0.3892,1.046,15.66,21.58
13.85,19.6,0.3419,1.678,15.63,28.01
14.02,15.66,0.2142,0.6549,14.91,19.31
10.97,17.2,0.2574,1.376,12.36,26.87
17.27,25.42,0.51,1.679,20.38,35.46
13.78,15.79,0.3563,0.4833,15.27,17.5
10.57,18.32,0.1818,2.542,10.94,23.31
18.03,16.85,0.2986,0.5906,20.38,22.02
11.99,24.89,0.2623,1.204,12.98,30.36
17.75,28.03,0.3897,1.077,21.53,38.54
14.8,17.66,0.2204,0.6221,16.43,22.74
14.53,19.34,0.2535,1.354,16.3,28.39
21.1,20.52,0.6643,1.361,25.68,32.07
11.87,21.54,0.256,1.554,12.79,28.18
19.59,25,0.4674,1.375,21.44,30.96
12,28.23,0.1912,1.705,13.09,37.88
14.53,13.98,0.306,0.7213,15.8,16.93
12.62,17.15,0.1692,0.6674,14.34,22.15
13.38,30.72,0.3408,1.924,15.05,41.61
11.63,29.29,0.3135,2.426,13.12,38.81
13.21,25.25,0.2084,1.35,14.35,34.23
13,25.13,0.2621,1.232,14.34,31.88
9.755,28.2,0.1781,1.687,10.67,36.92
17.08,27.15,0.9291,1.152,22.96,34.49
27.42,26.27,2.547,1.306,36.04,31.37
14.4,26.99,0.2315,0.9112,15.4,31.98
11.6,18.36,0.1816,0.7656,12.77,24.02
13.17,18.22,0.2023,0.685,14.9,23.89
13.24,20.13,0.281,0.8135,15.44,25.5
13.14,20.74,0.3152,0.7884,14.8,25.46
9.668,18.1,0.3416,1.312,11.15,24.62
17.6,23.33,0.9289,1.465,21.57,28.87
11.62,18.18,0.4101,1.74,13.36,25.4
9.667,18.49,0.3776,1.35,11.14,25.62
12.04,28.14,0.6061,2.643,13.6,33.33
14.92,14.93,0.2446,0.4334,17.18,18.22
12.27,29.97,0.4455,3.647,13.45,38.05
10.88,15.62,0.1482,0.538,11.94,19.35
12.83,15.73,0.1499,0.4875,14.09,19.35
14.2,20.53,0.3478,1.018,16.45,27.26
13.9,16.62,0.1555,0.5762,15.14,21.8
11.49,14.59,0.2034,1.166,12.4,21.9
16.25,19.51,0.3147,0.9857,17.39,23.05
12.16,18.03,0.2194,1.19,13.34,27.87
13.9,19.24,0.3316,0.9264,16.41,26.42
13.47,14.06,0.1588,0.5733,14.83,18.32
13.7,17.64,0.2431,0.9462,14.96,23.53
15.73,11.28,0.163,0.3871,17.01,14.2
12.45,16.41,0.3921,1.207,13.78,21.03
14.64,16.85,0.2204,1.006,16.46,25.44
19.44,18.82,0.5659,1.408,23.96,30.39
11.68,16.17,0.3713,1.154,13.32,21.59
16.69,20.2,0.2473,0.5679,19.18,26.56
12.25,22.44,0.2239,1.139,14.17,31.99
17.85,13.23,0.4834,1.046,19.82,18.42
18.01,20.56,0.7548,1.288,21.53,26.06
12.46,12.83,0.3276,1.486,13.19,16.36
13.16,20.54,0.3237,1.473,14.5,28.46
14.87,20.21,0.2323,1.636,16.01,28.48
12.65,18.17,0.2324,0.6332,14.38,22.15
12.47,17.31,0.1532,0.781,14.06,24.34
18.49,17.52,0.7923,1.045,22.75,22.88
20.59,21.24,0.5904,1.216,23.86,30.76
15.04,16.74,0.372,0.8423,16.76,20.43
13.82,24.49,0.4751,1.528,16.01,32.94
12.54,16.32,0.2577,1.095,13.57,21.4
23.09,19.83,1.291,0.7452,30.79,23.87
9.268,12.87,0.4076,1.093,10.28,16.38
9.676,13.14,0.2744,1.39,10.6,18.04
12.22,20.04,0.1811,0.7959,13.16,24.17
11.06,17.12,0.1779,1.03,11.69,20.74
16.3,15.7,0.2067,0.4706,17.32,17.76
15.46,23.95,0.3331,1.961,17.11,36.33
11.74,14.69,0.1924,0.6417,12.45,17.6
14.81,14.7,0.2182,0.6232,15.61,17.58
13.4,20.52,0.3906,0.9306,16.41,29.66
14.58,13.66,0.4165,0.6237,16.76,17.24
15.05,19.07,0.386,1.198,17.58,28.06
11.34,18.61,0.243,1.01,12.47,23.03
18.31,20.58,0.5449,0.9225,21.86,26.2
19.89,20.26,0.5079,0.8737,23.73,25.23
12.88,18.22,0.4426,1.169,15.05,24.37
12.75,16.7,0.3834,1.003,14.45,21.74
9.295,13.9,0.3538,1.13,10.57,17.84
24.63,21.6,0.9915,0.9004,29.92,26.93
11.26,19.83,0.1344,1.083,11.93,26.43
13.71,18.68,0.3191,1.249,15.11,25.63
9.847,15.68,0.2498,1.216,11.24,22.99
8.571,13.1,0.1267,0.6793,9.473,18.45
13.46,18.75,0.1998,0.6068,15.35,25.16
12.34,12.27,0.1166,0.4957,13.61,19.27
13.94,13.17,0.5461,2.635,14.62,15.38
12.07,13.44,0.2513,0.504,13.45,15.77
11.75,17.56,0.4384,1.907,13.5,27.98
11.67,20.02,0.2067,0.8745,13.35,28.81
13.68,16.33,0.2047,0.4801,15.85,20.2
20.47,20.67,0.8336,1.736,23.23,27.15
10.96,17.62,0.1507,1.583,11.62,26.51
20.55,20.86,0.6986,0.9901,24.3,25.48
14.27,22.55,0.2027,1.851,15.29,34.27
11.69,24.44,0.2957,1.978,12.98,32.19
7.729,25.49,0.3777,1.462,9.077,30.92
7.691,25.44,0.2196,1.479,8.678,31.89
11.54,14.44,0.2784,1.768,12.26,19.68
14.47,24.99,0.2542,1.079,16.22,31.73
14.74,25.42,0.3031,1.385,16.51,32.29
13.21,28.06,0.2351,1.597,14.37,37.17
13.87,20.7,0.272,1.047,15.05,24.75
13.62,23.23,0.346,1.336,15.35,29.09
10.32,16.35,0.2104,0.967,11.25,21.77
10.26,16.58,0.1144,1.023,10.83,22.04
9.683,19.34,0.2957,1.363,10.93,25.59
10.82,24.21,0.5196,1.918,13.03,31.45
10.86,21.48,0.3163,1.304,11.66,24.77
11.13,22.44,0.28,1.467,12.02,28.26
12.77,29.43,0.2409,1.367,13.87,36
9.333,21.94,0.3013,1.879,9.845,25.05
12.88,28.92,0.2116,1.36,13.89,35.74
10.29,27.61,0.2199,2.239,10.84,34.91
10.16,19.59,0.2441,2.09,10.65,22.88
9.423,27.88,0.5375,2.927,10.49,34.24
14.59,22.68,0.2254,1.108,15.48,27.27
11.51,23.93,0.2388,2.904,12.48,37.16
14.05,27.15,0.3645,1.492,15.3,33.17
11.2,29.37,0.3141,3.896,11.92,38.3
15.22,30.62,0.2602,1.205,17.52,42.79
20.92,25.09,0.9622,1.026,24.29,29.41
21.56,22.39,1.176,1.256,25.45,26.4
20.13,28.25,0.7655,2.463,23.69,38.25
16.6,28.08,0.4564,1.075,18.98,34.12
20.6,29.33,0.726,1.595,25.74,39.42
7.76,24.54,0.3857,1.428,9.456,30.37
